[2026-09-04 22:26:42,003][modules.utils_train][INFO] - Set global random seed to 42
[2026-09-04 22:26:44,105][dataloader.utils_dataloader][INFO] - Split 300 groups into 240 train and 60 validation groups
[2026-09-04 22:26:55,029][modules.utils_train][WARNING] - Skipping invalid manifest entry 14: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:01,827][modules.utils_train][WARNING] - Skipping invalid manifest entry 26: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:04,226][modules.utils_train][WARNING] - Skipping invalid manifest entry 30: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:11,053][modules.utils_train][WARNING] - Skipping invalid manifest entry 46: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:13,458][modules.utils_train][WARNING] - Skipping invalid manifest entry 48: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:13,770][modules.utils_train][WARNING] - Skipping invalid manifest entry 49: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:17,867][modules.utils_train][WARNING] - Skipping invalid manifest entry 58: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:27,065][modules.utils_train][WARNING] - Skipping invalid manifest entry 71: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:28,356][modules.utils_train][WARNING] - Skipping invalid manifest entry 75: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:28,782][modules.utils_train][WARNING] - Skipping invalid manifest entry 78: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:29,431][modules.utils_train][WARNING] - Skipping invalid manifest entry 79: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:29,778][modules.utils_train][WARNING] - Skipping invalid manifest entry 82: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:32,445][modules.utils_train][WARNING] - Skipping invalid manifest entry 92: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:32,527][modules.utils_train][WARNING] - Skipping invalid manifest entry 93: Section ExpertSingle contains events closer than the 20 ms grid
[2026-09-04 22:27:32,630][modules.utils_train][WARNING] - Skipping invalid manifest entry 94: Section ExpertSingle contains events closer than the 20 ms grid
