[2026-09-05 01:08:12,936][modules.utils_train][INFO] - Set global random seed to 42
[2026-09-05 01:08:13,425][dataloader.utils_dataloader][INFO] - Split 13720 groups into 10976 train and 2744 validation groups
[2026-09-05 01:08:13,647][modules.utils_train][WARNING] - Skipping invalid manifest entry 5: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,647][modules.utils_train][WARNING] - Skipping invalid manifest entry 6: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,647][modules.utils_train][WARNING] - Skipping invalid manifest entry 8: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,648][modules.utils_train][WARNING] - Skipping invalid manifest entry 17: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,649][modules.utils_train][WARNING] - Skipping invalid manifest entry 18: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,649][modules.utils_train][WARNING] - Skipping invalid manifest entry 19: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,649][modules.utils_train][WARNING] - Skipping invalid manifest entry 21: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,649][modules.utils_train][WARNING] - Skipping invalid manifest entry 22: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,663][modules.utils_train][WARNING] - Skipping invalid manifest entry 566: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,664][modules.utils_train][WARNING] - Skipping invalid manifest entry 567: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,664][modules.utils_train][WARNING] - Skipping invalid manifest entry 586: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,664][modules.utils_train][WARNING] - Skipping invalid manifest entry 589: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,665][modules.utils_train][WARNING] - Skipping invalid manifest entry 615: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,668][modules.utils_train][WARNING] - Skipping invalid manifest entry 708: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,669][modules.utils_train][WARNING] - Skipping invalid manifest entry 736: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,669][modules.utils_train][WARNING] - Skipping invalid manifest entry 742: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,675][modules.utils_train][WARNING] - Skipping invalid manifest entry 965: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,676][modules.utils_train][WARNING] - Skipping invalid manifest entry 966: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,677][modules.utils_train][WARNING] - Skipping invalid manifest entry 1011: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,678][modules.utils_train][WARNING] - Skipping invalid manifest entry 1033: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,689][modules.utils_train][WARNING] - Skipping invalid manifest entry 1427: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,689][modules.utils_train][WARNING] - Skipping invalid manifest entry 1428: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,691][modules.utils_train][WARNING] - Skipping invalid manifest entry 1486: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,691][modules.utils_train][WARNING] - Skipping invalid manifest entry 1493: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,694][modules.utils_train][WARNING] - Skipping invalid manifest entry 1598: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,694][modules.utils_train][WARNING] - Skipping invalid manifest entry 1612: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,695][modules.utils_train][WARNING] - Skipping invalid manifest entry 1616: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,696][modules.utils_train][WARNING] - Skipping invalid manifest entry 1651: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,698][modules.utils_train][WARNING] - Skipping invalid manifest entry 1736: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,699][modules.utils_train][WARNING] - Skipping invalid manifest entry 1775: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,700][modules.utils_train][WARNING] - Skipping invalid manifest entry 1791: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,702][modules.utils_train][WARNING] - Skipping invalid manifest entry 1867: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,702][modules.utils_train][WARNING] - Skipping invalid manifest entry 1879: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,703][modules.utils_train][WARNING] - Skipping invalid manifest entry 1887: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,703][modules.utils_train][WARNING] - Skipping invalid manifest entry 1892: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,703][modules.utils_train][WARNING] - Skipping invalid manifest entry 1907: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,704][modules.utils_train][WARNING] - Skipping invalid manifest entry 1937: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,704][modules.utils_train][WARNING] - Skipping invalid manifest entry 1939: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,704][modules.utils_train][WARNING] - Skipping invalid manifest entry 1940: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,705][modules.utils_train][WARNING] - Skipping invalid manifest entry 1949: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,705][modules.utils_train][WARNING] - Skipping invalid manifest entry 1951: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,705][modules.utils_train][WARNING] - Skipping invalid manifest entry 1954: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,706][modules.utils_train][WARNING] - Skipping invalid manifest entry 1959: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,708][modules.utils_train][WARNING] - Skipping invalid manifest entry 2053: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,711][modules.utils_train][WARNING] - Skipping invalid manifest entry 2162: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,712][modules.utils_train][WARNING] - Skipping invalid manifest entry 2169: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,714][modules.utils_train][WARNING] - Skipping invalid manifest entry 2257: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,715][modules.utils_train][WARNING] - Skipping invalid manifest entry 2274: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,715][modules.utils_train][WARNING] - Skipping invalid manifest entry 2290: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,716][modules.utils_train][WARNING] - Skipping invalid manifest entry 2291: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,723][modules.utils_train][WARNING] - Skipping invalid manifest entry 2568: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,723][modules.utils_train][WARNING] - Skipping invalid manifest entry 2572: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,723][modules.utils_train][WARNING] - Skipping invalid manifest entry 2580: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,724][modules.utils_train][WARNING] - Skipping invalid manifest entry 2596: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,724][modules.utils_train][WARNING] - Skipping invalid manifest entry 2601: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,725][modules.utils_train][WARNING] - Skipping invalid manifest entry 2617: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,725][modules.utils_train][WARNING] - Skipping invalid manifest entry 2637: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,726][modules.utils_train][WARNING] - Skipping invalid manifest entry 2664: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,726][modules.utils_train][WARNING] - Skipping invalid manifest entry 2672: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:08:13,728][modules.utils_train][WARNING] - Skipping invalid manifest entry 2717: Section ExpertSingle has no window free of events closer than the 20 ms grid
