[2026-09-05 01:18:53,530][modules.utils_train][INFO] - Set global random seed to 42
[2026-09-05 01:18:54,233][dataloader.utils_dataloader][INFO] - Split 13720 groups into 10976 train and 2744 validation groups
[2026-09-05 01:18:54,485][modules.utils_train][WARNING] - Skipping invalid manifest entry 5: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,485][modules.utils_train][WARNING] - Skipping invalid manifest entry 6: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,486][modules.utils_train][WARNING] - Skipping invalid manifest entry 8: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,486][modules.utils_train][WARNING] - Skipping invalid manifest entry 17: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,487][modules.utils_train][WARNING] - Skipping invalid manifest entry 18: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,487][modules.utils_train][WARNING] - Skipping invalid manifest entry 19: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,487][modules.utils_train][WARNING] - Skipping invalid manifest entry 21: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,487][modules.utils_train][WARNING] - Skipping invalid manifest entry 22: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,507][modules.utils_train][WARNING] - Skipping invalid manifest entry 566: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,507][modules.utils_train][WARNING] - Skipping invalid manifest entry 567: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,508][modules.utils_train][WARNING] - Skipping invalid manifest entry 586: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,508][modules.utils_train][WARNING] - Skipping invalid manifest entry 589: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,509][modules.utils_train][WARNING] - Skipping invalid manifest entry 615: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,513][modules.utils_train][WARNING] - Skipping invalid manifest entry 708: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,514][modules.utils_train][WARNING] - Skipping invalid manifest entry 736: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,514][modules.utils_train][WARNING] - Skipping invalid manifest entry 742: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,522][modules.utils_train][WARNING] - Skipping invalid manifest entry 965: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,522][modules.utils_train][WARNING] - Skipping invalid manifest entry 966: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,524][modules.utils_train][WARNING] - Skipping invalid manifest entry 1011: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,525][modules.utils_train][WARNING] - Skipping invalid manifest entry 1033: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,538][modules.utils_train][WARNING] - Skipping invalid manifest entry 1427: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,539][modules.utils_train][WARNING] - Skipping invalid manifest entry 1428: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 01:18:54,540][modules.utils_train][WARNING] - Skipping invalid manifest entry 1486: Section ExpertSingle has no window free of events closer than the 20 ms grid
