[2026-09-04 23:23:52,872][modules.utils_train][INFO] - Set global random seed to 42
[2026-09-04 23:23:54,795][dataloader.utils_dataloader][INFO] - Split 300 groups into 240 train and 60 validation groups
[2026-09-04 23:24:12,622][modules.utils_train][WARNING] - Skipping invalid manifest entry 48: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:24:35,959][modules.utils_train][WARNING] - Skipping invalid manifest entry 102: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:24:46,179][modules.utils_train][WARNING] - Skipping invalid manifest entry 118: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:25:45,134][modules.utils_train][WARNING] - Skipping invalid manifest entry 220: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:25:55,543][modules.utils_train][INFO] - Validated 236 dataset entries
[2026-09-04 23:26:25,638][modules.utils_train][WARNING] - Skipping invalid manifest entry 46: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:26:27,243][modules.utils_train][WARNING] - Skipping invalid manifest entry 51: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:26:28,398][modules.utils_train][WARNING] - Skipping invalid manifest entry 55: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:26:29,948][modules.utils_train][WARNING] - Skipping invalid manifest entry 59: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-04 23:26:29,948][modules.utils_train][INFO] - Validated 56 dataset entries
[2026-09-04 23:26:36,679][dataloader.audio_loader][INFO] - Pre-caching chart metadata
[2026-09-04 23:26:37,883][dataloader.audio_loader][INFO] - Dataset initialized with 236 items and chunk size 59
[2026-09-04 23:26:37,883][dataloader.audio_loader][INFO] - Created dataset with 236 items
[2026-09-04 23:26:38,644][dataloader.audio_loader][INFO] - Pre-caching chart metadata
[2026-09-04 23:26:38,884][dataloader.audio_loader][INFO] - Dataset initialized with 56 items and chunk size 14
[2026-09-04 23:26:38,884][dataloader.audio_loader][INFO] - Created dataset with 56 items
[2026-09-04 23:27:15,052][modules.pretrained][INFO] - Expanded transformer.token_embedding.weight to the expressive vocabulary (1283 rows)
[2026-09-04 23:27:15,061][modules.pretrained][INFO] - Expanded transformer.output_projection.weight to the expressive vocabulary (1283 rows)
[2026-09-04 23:27:15,175][modules.pretrained][INFO] - Loaded 218/470 transformer parameters from G:\a2c_data\hf_cache\hub\models--3podi--charter-v1.0-20-M-best-acc\snapshots\351b4ece73444e30bc855ad9881b740a327622ec\pytorch_model.bin (0 missing, 0 unexpected)
